Date,Open,High,Low,Close,Adj Close,Volume
2023-10-24,333.0,336.0,330.5,336.0,336.0,541034
2023-10-25,337.5,339.0,335.5,336.0,336.0,503764
2023-10-26,336.0,336.0,328.0,330.5,330.5,1000286
2023-10-27,333.0,336.5,332.0,333.5,333.5,319788
2023-10-30,331.5,336.5,331.5,332.5,332.5,452200
2023-10-31,330.5,334.0,330.0,331.5,331.5,914209
2023-11-01,333.0,334.5,331.0,331.5,331.5,659018
2023-11-02,325.0,333.0,321.5,331.5,331.5,1318041
2023-11-03,334.5,342.5,334.0,338.5,338.5,575016
2023-11-06,344.5,346.0,343.0,345.0,345.0,732678
2023-11-07,346.0,347.5,341.5,344.5,344.5,550861
2023-11-08,345.5,347.5,345.0,345.0,345.0,608303
2023-11-09,341.5,344.0,341.5,341.5,341.5,511714
2023-11-10,338.0,341.5,335.0,340.0,340.0,697896
2023-11-13,345.5,348.5,341.0,342.5,342.5,500565
2023-11-14,346.5,346.5,341.5,342.5,342.5,872991
2023-11-15,351.5,355.0,347.5,353.0,353.0,1079292
2023-11-16,354.5,359.0,344.5,346.5,346.5,1066827
2023-11-17,346.5,350.5,343.0,348.0,348.0,871742
2023-11-20,348.0,349.5,342.5,344.5,344.5,970177
2023-11-21,347.0,352.5,346.0,352.5,352.5,1257157
2023-11-22,352.5,352.5,344.0,345.0,345.0,553675
2023-11-23,343.5,348.0,341.5,346.0,346.0,649102
2023-11-24,349.5,352.0,345.0,348.0,348.0,756469
2023-11-27,350.0,351.5,343.5,345.5,345.5,825699
2023-11-28,345.5,353.0,344.0,349.5,349.5,1094138
2023-11-29,350.5,356.0,350.5,354.0,354.0,1231671
2023-11-30,352.0,353.5,348.5,353.5,353.5,3395746
2023-12-01,353.0,355.0,351.5,354.5,354.5,499892
2023-12-04,355.0,357.5,354.5,356.5,356.5,388470
2023-12-05,353.5,357.0,349.5,351.0,351.0,706373
2023-12-06,351.0,354.0,349.0,350.0,350.0,389500
2023-12-07,352.5,353.0,349.5,351.5,351.5,392025
2023-12-08,353.0,354.0,350.5,352.0,352.0,542070
2023-12-11,357.0,363.5,354.5,363.5,363.5,1076990
2023-12-12,367.0,368.0,360.5,364.5,364.5,884804
2023-12-13,369.5,369.5,359.5,366.0,366.0,994660
2023-12-14,372.0,373.0,364.0,367.5,367.5,1245211
2023-12-15,361.0,368.0,360.5,365.0,365.0,3146903
2023-12-18,360.0,364.0,359.5,362.0,362.0,493260
2023-12-19,359.0,361.5,358.0,360.5,360.5,638063
2023-12-20,360.0,362.5,358.0,358.0,358.0,678752
2023-12-21,352.0,361.0,352.0,359.5,359.5,598101
2023-12-22,355.0,361.0,355.0,359.5,359.5,696269
